City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cherskiy,RU,68.75,161.3,7.12,93,93,4.79,overcast clouds
80,Longyearbyen,SJ,78.2186,15.6401,8.44,56,20,5.75,few clouds
81,Ammon,US,43.4696,-111.9666,52.95,36,75,5.99,broken clouds
82,Dire Dawa,ET,9.5931,41.8661,70.47,73,39,7.02,scattered clouds
83,Port Hawkesbury,CA,45.6169,-61.3485,38.91,87,100,10.36,overcast clouds
84,Airai,TL,-8.9266,125.4092,57.88,67,61,1.92,broken clouds
85,Bredasdorp,ZA,-34.5322,20.0403,56.17,83,49,4.59,light rain
86,Naze,JP,28.3667,129.4833,70.72,91,14,6.11,few clouds
87,Georgetown,MY,5.4112,100.3354,81.95,93,40,3.44,scattered clouds
88,Mineiros,BR,-17.5694,-52.5511,82.38,59,100,4.12,overcast clouds
89,La Grande,US,45.3246,-118.0877,64.02,41,49,4.85,scattered clouds
90,Massakory,TD,12.996,15.7293,93.54,20,93,4.92,overcast clouds
91,Port Alfred,ZA,-33.5906,26.891,57.18,87,98,5.99,overcast clouds
92,Jamestown,US,42.097,-79.2353,82.04,29,0,18.41,clear sky
93,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,93,14.07,light rain
94,Tamiahua,MX,21.2667,-97.45,85.23,65,0,18.23,clear sky
95,Batagay-Alyta,RU,67.8006,130.4114,2.5,97,100,4.76,overcast clouds
96,Svetlaya,RU,46.5389,138.3297,40.35,63,0,2.75,clear sky
97,Bouca,CF,6.5105,18.2733,73.13,84,100,3.15,overcast clouds
98,Owings Mills,US,39.4196,-76.7803,81.95,55,6,1.01,clear sky
99,Bluff,NZ,-46.6,168.3333,53.8,83,99,23.47,overcast clouds
100,Jacqueville,CI,5.2052,-4.4146,80.94,86,84,6.78,moderate rain
101,Adrar,MR,20.5022,-10.0711,77.94,27,0,11.45,clear sky
102,Port Elizabeth,ZA,-33.918,25.5701,59.31,75,0,14.97,clear sky
103,Tilichiki,RU,60.4667,166.1,24.93,81,100,12.15,overcast clouds
104,Salinopolis,BR,-0.6136,-47.3561,78.15,88,100,7.2,overcast clouds
105,Thinadhoo,MV,0.5333,72.9333,84.56,71,92,8.21,overcast clouds
106,Katsuura,JP,35.1333,140.3,57.22,87,60,4.05,broken clouds
107,Waddan,LY,29.1614,16.139,72.14,20,27,11.65,scattered clouds
