City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nosy Varika,MG,2022-04-22 07:58:56,-20.5833,48.5333,79.65,77,86,5.73
68,Deputatskiy,RU,2022-04-22 07:58:56,69.3,139.9,15.58,92,99,3.44
69,Lavrentiya,RU,2022-04-22 07:58:57,65.5833,-171.0,16.7,89,5,7.29
70,Tasiilaq,GL,2022-04-22 07:58:54,65.6145,-37.6368,32.45,96,100,13.38
71,Olinda,BR,2022-04-22 07:58:57,-8.0089,-34.8553,74.93,94,20,2.3
72,Hithadhoo,MV,2022-04-22 07:58:58,-0.6,73.0833,84.94,66,39,8.68
73,Gazli,UZ,2022-04-22 07:58:58,40.1333,63.45,80.92,25,98,6.29
74,Kuusamo,FI,2022-04-22 07:58:58,65.9667,29.1833,41.04,65,20,12.66
75,Busselton,AU,2022-04-22 07:58:59,-33.65,115.3333,74.08,37,0,10.38
76,Kaitangata,NZ,2022-04-22 07:57:56,-46.2817,169.8464,48.27,90,99,13.02
77,Nurota,UZ,2022-04-22 07:58:59,40.5614,65.6886,76.73,28,0,2.35
78,Lebu,CL,2022-04-22 07:59:00,-37.6167,-73.65,53.78,95,100,2.91
79,Coihaique,CL,2022-04-22 07:57:04,-45.5752,-72.0662,41.61,97,91,6.13
80,Talaya,RU,2022-04-22 07:59:00,61.3833,152.75,20.48,83,100,1.21
81,Husavik,IS,2022-04-22 07:58:37,66.0449,-17.3389,42.42,72,5,9.22
82,Methoni,GR,2022-04-22 07:59:01,36.8197,21.7049,69.22,63,30,27.36
83,Mandan,US,2022-04-22 07:59:01,46.8267,-100.8896,36.95,93,100,19.57
84,Coquimbo,CL,2022-04-22 07:59:01,-29.9533,-71.3436,53.33,100,0,1.14
85,East London,ZA,2022-04-22 07:59:02,-33.0153,27.9116,67.14,88,75,10.36
86,Lasa,IT,2022-04-22 07:59:02,46.6166,10.7002,51.66,76,92,1.1
87,Tiksi,RU,2022-04-22 07:57:45,71.6872,128.8694,21.18,92,100,7.74
88,Port Alfred,ZA,2022-04-22 07:54:58,-33.5906,26.891,67.17,81,96,8.01
89,Laguna,US,2022-04-22 07:58:27,38.421,-121.4238,51.94,87,40,6.91
90,Talnakh,RU,2022-04-22 07:59:03,69.4865,88.3972,20.21,79,100,3.0
91,Atambua,ID,2022-04-22 07:59:03,-9.1061,124.8925,81.79,66,95,3.04
92,Nanortalik,GL,2022-04-22 07:59:04,60.1432,-45.2371,33.57,96,100,5.14
93,Mar Del Plata,AR,2022-04-22 08:00:05,-38.0023,-57.5575,55.87,79,100,8.01
94,Bafia,CM,2022-04-22 08:00:07,4.75,11.2333,77.65,79,100,0.6
95,Katsuura,JP,2022-04-22 08:00:08,35.1333,140.3,71.62,76,0,17.11
96,Santa Maria Del Oro,MX,2022-04-22 08:00:09,25.9333,-105.3667,64.22,33,3,1.72
97,Ugoofaaru,MV,2022-04-22 08:00:10,5.6667,73.0,83.71,73,100,4.9
98,Orbetello,IT,2022-04-22 08:00:11,42.4408,11.2196,57.63,72,100,7.94
99,Puerto Ayora,EC,2022-04-22 08:00:19,-0.7393,-90.3518,71.49,93,16,6.93
